insectid,measurement,length
1-T10-25-B1,2,9.7
1-T10-25-B1,3,9.75
1-T10-25-B2,1,12.43
1-T10-25-B2,2,12.43
1-T10-25-B2,3,12.35
1-T10-25-W1,1,5.12
1-T10-25-W1,2,5.19
1-T10-25-W1,3,5.1
1-T10-25-W2,1,4.92
1-T10-25-W2,2,4.94
1-T10-25-W2,3,4.86
1-T10-25-W3,1,5.34
1-T10-25-W3,2,5.36
1-T10-25-W3,3,5.28
1-T10-25-W4,1,5.53
1-T10-25-W4,2,5.49
1-T10-25-W4,3,5.6
1-T10-25-W5,1,4.52
1-T10-25-W5,2,4.61
1-T10-25-W5,3,4.61
1-T10-25-W6,1,5.44
1-T10-25-W6,2,5.52
1-T10-25-W6,3,5.47
1-T10-25-W7,1,5.58
1-T10-25-W7,2,5.59
1-T10-25-W7,3,5.64
1-T10-25-W8,1,5.31
1-T10-25-W8,2,5.46
1-T10-25-W8,3,5.37
1-T10-25-W9,1,5.7
1-T10-25-W9,2,5.66
1-T10-25-W9,3,5.71
1-T10-25-W10,1,5.58
1-T10-25-W10,2,5.48
1-T10-25-W10,3,5.56
1-T10-25-W11,1,5.12
1-T10-25-W11,2,5.06
1-T10-25-W11,3,5.14
1-T10-25-W12,1,4.86
1-T10-25-W12,2,4.88
1-T10-25-W12,3,4.9
1-T10-25-W13,1,5.21
1-T10-25-W13,2,5.25
1-T10-25-W13,3,5.24
1-T10-25-W14,1,5.63
1-T10-25-W14,2,5.73
1-T10-25-W14,3,5.75
1-T10-25-W15,1,5.38
1-T10-25-W15,2,5.38
1-T10-25-W15,3,5.37
1-T10-25-W16,1,5.25
1-T10-25-W16,2,5.29
1-T10-25-W16,3,5.33
1-T10-25-W17,1,4.5
1-T10-25-W17,2,4.57
1-T10-25-W17,3,4.52
1-T10-25-W18,1,4.92
1-T10-25-W18,2,4.95
1-T10-25-W18,3,4.83
1-T10-25-W19,1,5.24
1-T10-25-W19,2,5.24
1-T10-25-W19,3,5.32
1-T10-25-W20,1,5.63
1-T10-25-W20,2,5.67
1-T10-25-W20,3,5.66
1-T10-25-W21,1,4.78
1-T10-25-W21,2,4.78
1-T10-25-W21,3,4.78
1-T10-25-W22,1,5.35
1-T10-25-W22,2,5.3
1-T10-25-W22,3,5.25
1-T10-25-W23,1,5.36
1-T10-25-W23,2,5.41
1-T10-25-W23,3,5.27
1-T10-25-W24,1,5.84
1-T10-25-W24,2,5.85
1-T10-25-W24,3,5.8
1-T10-25-W25,1,7.95
1-T10-25-W25,2,8
1-T10-25-W25,3,7.98
1-T10-25-W26,1,7.36
1-T10-25-W26,2,7.43
1-T10-25-W26,3,7.37
1-T10-25-W27,1,7.96
1-T10-25-W27,2,7.92
1-T10-25-W27,3,7.93
1-T10-25-W28,1,6.95
1-T10-25-W28,2,6.92
1-T10-25-W28,3,6.9
1-T10-25-W29,1,7.67
1-T10-25-W29,2,7.76
1-T10-25-W29,3,7.79
1-T10-25-W30,1,7.23
1-T10-25-W30,2,7.26
1-T10-25-W30,3,7.17
1-T10-25-W31,1,8.54
1-T10-25-W31,2,8.37
1-T10-25-W31,3,8.4
1-T10-25-W32,1,6.7
1-T10-25-W32,2,6.71
1-T10-25-W32,3,6.61
1-T10-25-W33,1,6.72
1-T10-25-W33,2,6.8
1-T10-25-W33,3,6.79
1-T10-25-W34,1,6.86
1-T10-25-W34,2,6.89
1-T10-25-W34,3,6.88
2-T1-0-W1,1,4.75
2-T1-0-W1,2,4.7
2-T1-0-W1,3,4.72
2-T1-0-W2,1,5.13
2-T1-0-W2,2,5.1
2-T1-0-W2,3,5.16
2-T1-0-W3,1,4.9
2-T1-0-W3,2,4.8
2-T1-0-W3,3,4.91
2-T1-0-W4,1,5.35
2-T1-0-W4,2,5.31
2-T1-0-W4,3,5.34
2-T1-0-W5,1,4.72
2-T1-0-W5,2,4.82
2-T1-0-W5,3,4.79
2-T1-0-W6,1,6.61
2-T1-0-W6,2,6.6
2-T1-0-W6,3,6.49
2-T1-25-B1,1,13.28
2-T1-25-B1,2,13.2
2-T1-25-B1,3,13.28
2-T1-25-B2,1,6.41
2-T1-25-B2,2,6.46
2-T1-25-B2,3,6.54
2-T1-25-W1,1,4.37
2-T1-25-W1,2,4.33
2-T1-25-W1,3,4.29
2-T1-25-W2,1,4.13
2-T1-25-W2,2,4.14
2-T1-25-W2,3,4.11
2-T1-25-W3,1,5.74
2-T1-25-W3,2,5.66
2-T1-25-W3,3,5.7
2-T1-50-B1,1,9.55
2-T1-50-B1,2,9.61
2-T1-50-B1,3,9.65
2-T1-50-W1,1,5.57
2-T1-50-W1,2,5.62
2-T1-50-W1,3,5.48
2-T1-50-W2,1,4.75
2-T1-50-W2,2,4.74
2-T1-50-W2,3,4.81
2-T1-50-W3,1,4.93
2-T1-50-W3,2,5.03
2-T1-50-W3,3,4.97
2-T2-0-B1,1,9.93
2-T2-0-B1,2,9.83
2-T2-0-B1,3,9.89
2-T2-0-B2,1,12.47
2-T2-0-B2,2,12.51
2-T2-0-B2,3,12.39
2-T2-0-W1,1,5.65
2-T2-0-W1,2,5.66
2-T2-0-W1,3,5.77
2-T2-0-W2,1,4.03
2-T2-0-W2,2,4.01
2-T2-0-W2,3,3.93
2-T2-0-W3,1,5.01
2-T2-0-W3,2,5.08
2-T2-0-W3,3,5.07
2-T2-0-W4,1,4.89
2-T2-0-W4,2,4.89
2-T2-0-W4,3,4.8
2-T2-0-W5,1,5.82
2-T2-0-W5,2,5.98
2-T2-0-W5,3,5.84
2-T2-0-W6,1,4.7
2-T2-0-W6,2,4.74
2-T2-0-W6,3,4.72
2-T2-0-W7,1,6.51
2-T2-0-W7,2,6.65
2-T2-0-W7,3,6.56
2-T2-0-W8,1,7.66
2-T2-0-W8,2,7.77
2-T2-0-W8,3,7.77
2-T2-25-B1,1,14.67
2-T2-25-B1,2,14.64
2-T2-25-B1,3,14.66
2-T2-25-B2,1,13.92
2-T2-25-B2,2,14.01
2-T2-25-B2,3,14.04
2-T2-25-B3,1,7.31
2-T2-25-B3,2,7.09
2-T2-25-B3,3,7.25
2-T2-25-W1,1,5.17
2-T2-25-W1,2,5.08
2-T2-25-W1,3,5.12
2-T2-25-W2,1,5.07
2-T2-25-W2,2,5.05
2-T2-25-W2,3,5.07
2-T2-25-W3,1,4.43
2-T2-25-W3,2,4.33
2-T2-25-W3,3,4.53
2-T2-25-W4,1,4.85
2-T2-25-W4,2,4.88
2-T2-25-W4,3,4.91
2-T2-25-W5,1,4.7
2-T2-25-W5,2,4.73
2-T2-25-W5,3,4.73
2-T2-25-W6,1,5.03
2-T2-25-W6,2,5.11
2-T2-25-W6,3,5.11
2-T2-25-W7,1,5.26
2-T2-25-W7,2,5.24
2-T2-25-W7,3,5.34
2-T2-25-W8,1,3.98
2-T2-25-W8,2,4.04
2-T2-25-W8,3,4.09
2-T2-25-W9,1,5.34
2-T2-25-W9,2,5.41
2-T2-25-W9,3,5.46
2-T2-25-W10,1,5.08
2-T2-25-W10,2,5.11
2-T2-25-W10,3,5.05
2-T2-25-W11,1,5.72
2-T2-25-W11,2,5.67
2-T2-25-W11,3,5.73
2-T2-25-W12,1,4.55
2-T2-25-W12,2,4.68
2-T2-25-W12,3,4.63
2-T2-25-W13,1,7.38
2-T2-25-W13,2,7.43
2-T2-25-W13,3,7.41
2-T2-50-W1,1,3.87
2-T2-50-W1,2,3.86
2-T2-50-W1,3,3.83
2-T2-50-W2,1,4.3
2-T2-50-W2,2,4.32
2-T2-50-W2,3,4.38
2-T2-50-W3,1,6.53
2-T2-50-W3,2,6.54
2-T2-50-W3,3,6.56
2-T2-50-W4,1,6.71
2-T2-50-W4,2,6.73
2-T2-50-W4,3,6.75
2-T3-0-B1,1,9.54
2-T3-0-B1,2,9.69
2-T3-0-B1,3,9.59
2-T3-0-B2,1,9.64
2-T3-0-B2,2,9.54
2-T3-0-B2,3,9.59
2-T3-0-B3,1,13.69
2-T3-0-B3,2,13.71
2-T3-0-B3,3,13.68
2-T3-0-B4,1,7.07
2-T3-0-B4,2,6.94
2-T3-0-B4,3,7.13
2-T3-0-W1,1,4.63
2-T3-0-W1,2,4.61
2-T3-0-W1,3,4.64
2-T3-0-W2,1,4.59
2-T3-0-W2,2,4.56
2-T3-0-W2,3,4.53
2-T3-0-W3,1,5.22
2-T3-0-W3,2,5.23
2-T3-0-W3,3,5.23
2-T3-0-W4,1,5.21
2-T3-0-W4,2,5.27
2-T3-0-W4,3,5.31
2-T3-0-W5,1,4.21
2-T3-0-W5,2,4.31
2-T3-0-W5,3,4.28
2-T3-0-W6,1,5.04
2-T3-0-W6,2,5.11
2-T3-0-W6,3,5.03
2-T3-0-W7,1,4.58
2-T3-0-W7,2,4.65
2-T3-0-W7,3,4.69
2-T3-0-W8,1,4.96
2-T3-0-W8,2,4.95
2-T3-0-W8,3,4.96
2-T3-0-W9,1,5.76
2-T3-0-W9,2,5.65
2-T3-0-W9,3,5.64
2-T3-0-W10,1,5.87
2-T3-0-W10,2,5.77
2-T3-0-W10,3,5.89
2-T3-50-B1,1,10.15
2-T3-50-B1,2,10.17
2-T3-50-B1,3,10.21
2-T3-50-B2,1,9.64
2-T3-50-B2,2,9.72
2-T3-50-B2,3,9.83
2-T3-50-B3,1,6.34
2-T3-50-B3,2,6.5
2-T3-50-B3,3,6.54
2-T3-50-B4,1,9.75
2-T3-50-B4,2,9.88
2-T3-50-B4,3,9.85
2-T3-50-W1,1,7.84
2-T3-50-W1,2,7.92
2-T3-50-W1,3,7.9
2-T3-50-W2,1,7.02
2-T3-50-W2,2,7
2-T3-50-W2,3,7.08
2-T4-0-B1,1,9
2-T4-0-B1,2,9
2-T4-0-B1,3,8.89
2-T4-0-B2,1,10.14
2-T4-0-B2,2,9.93
2-T4-0-B2,3,10.1
2-T4-0-B3,1,9.85
2-T4-0-B3,2,9.93
2-T4-0-B3,3,9.94
2-T4-0-B4,1,9.54
2-T4-0-B4,2,9.52
2-T4-0-B4,3,9.6
2-T4-0-B5,1,10.04
2-T4-0-B5,2,10.04
2-T4-0-B5,3,10.17
2-T4-0-W1,1,5.42
2-T4-0-W1,2,5.38
2-T4-0-W1,3,5.4
2-T4-0-W2,1,5.53
2-T4-0-W2,2,5.5
2-T4-0-W2,3,5.55
2-T4-0-W3,1,5.69
2-T4-0-W3,2,5.83
2-T4-0-W3,3,5.72
2-T4-0-W4,1,4.82
2-T4-0-W4,2,4.88
2-T4-0-W4,3,4.87
2-T4-0-W5,1,4.69
2-T4-0-W5,2,4.74
2-T4-0-W5,3,4.75
2-T4-0-W6,1,3.87
2-T4-0-W6,2,3.94
2-T4-0-W6,3,3.77
2-T4-50-B1,1,9.01
2-T4-50-B1,2,8.84
2-T4-50-B1,3,8.94
2-T4-50-B2,1,9.69
2-T4-50-B2,2,9.63
2-T4-50-B2,3,9.66
2-T4-50-B3,1,9.76
2-T4-50-B3,2,9.7
2-T4-50-B3,3,9.78
2-T4-50-B4,1,9.35
2-T4-50-B4,2,9.38
2-T4-50-B4,3,9.3
2-T4-50-B5,1,9.44
2-T4-50-B5,2,9.51
2-T4-50-B5,3,9.45
2-T4-50-B6,1,12.36
2-T4-50-B6,2,12.32
2-T4-50-B6,3,12.34
2-T4-50-B7,1,12.38
2-T4-50-B7,2,12.35
2-T4-50-B7,3,12.34
2-T4-50-B8,1,12.03
2-T4-50-B8,2,11.96
2-T4-50-B8,3,11.92
2-T4-50-B9,1,11.68
2-T4-50-B9,2,11.51
2-T4-50-B9,3,11.66
2-T4-50-W1,1,5.42
2-T4-50-W1,2,5.34
2-T4-50-W1,3,5.32
2-T4-50-W2,1,4.8
2-T4-50-W2,2,4.68
2-T4-50-W2,3,4.7
2-T4-50-W3,1,4.81
2-T4-50-W3,2,4.81
2-T4-50-W3,3,4.73
2-T4-50-W4,1,5.47
2-T4-50-W4,2,5.52
2-T4-50-W4,3,5.5
2-T4-50-W5,1,4.64
2-T4-50-W5,2,4.84
2-T4-50-W5,3,4.7
2-T4-50-W6,1,5.9
2-T4-50-W6,2,5.89
2-T4-50-W6,3,5.85
2-T4-50-W7,1,4.81
2-T4-50-W7,2,4.67
2-T4-50-W7,3,4.79
2-T4-50-W8,1,5.54
2-T4-50-W8,2,5.63
2-T4-50-W8,3,5.55
2-T4-50-W9,1,5.74
2-T4-50-W9,2,5.84
2-T4-50-W9,3,5.73
2-T4-50-W10,1,4.89
2-T4-50-W10,2,4.89
2-T4-50-W10,3,4.81
2-T5-0-B1,1,9.81
2-T5-0-B1,2,9.82
2-T5-0-B1,3,9.71
2-T5-0-B2,1,9.58
2-T5-0-B2,2,9.59
2-T5-0-B2,3,9.52
2-T5-0-W1,1,7.37
2-T5-0-W1,2,7.32
2-T5-0-W1,3,7.46
2-T5-25-B1,1,9.51
2-T5-25-B1,2,9.53
2-T5-25-B1,3,9.56
2-T5-25-W1,1,5.28
2-T5-25-W1,2,5.29
2-T5-25-W1,3,5.13
2-T5-25-W2,1,6.12
2-T5-25-W2,2,6.11
2-T5-25-W2,3,5.97
2-T5-25-W3,1,8.17
2-T5-25-W3,2,8.17
2-T5-25-W3,3,8.16
2-T5-25-W4,1,7.02
2-T5-25-W4,2,6.96
2-T5-25-W4,3,7.09
2-T5-50-B1,1,9.49
2-T5-50-B1,2,9.45
2-T5-50-B1,3,9.42
2-T5-50-W1,1,4.75
2-T5-50-W1,2,4.81
2-T5-50-W1,3,4.74
2-T5-50-W2,1,5.79
2-T5-50-W2,2,5.78
2-T5-50-W2,3,5.74
2-T5-50-W3,1,5.47
2-T5-50-W3,2,5.52
2-T5-50-W3,3,5.48
2-T5-50-W4,1,5.12
2-T5-50-W4,2,5.1
2-T5-50-W4,3,5.19
2-T5-50-W5,1,5.18
2-T5-50-W5,2,5.17
2-T5-50-W5,3,5.18
2-T6-0-W1,1,5.07
2-T6-0-W1,2,4.97
2-T6-0-W1,3,4.94
2-T6-0-W2,1,5.56
2-T6-0-W2,2,5.57
2-T6-0-W2,3,5.56
2-T6-0-W3,1,4.23
2-T6-0-W3,2,4.25
2-T6-0-W3,3,4.27
2-T6-0-W4,1,4.87
2-T6-0-W4,2,4.88
2-T6-0-W4,3,4.79
2-T6-0-W5,1,4.44
2-T6-0-W5,2,4.45
2-T6-0-W5,3,4.49
2-T6-0-W6,1,4.87
2-T6-0-W6,2,4.89
2-T6-0-W6,3,4.95
2-T6-0-W7,1,4.8
2-T6-0-W7,2,4.79
2-T6-0-W7,3,4.79
2-T6-0-W8,1,4.96
2-T6-0-W8,2,4.99
2-T6-0-W8,3,4.94
2-T6-25-B1,1,9.61
2-T6-25-B1,2,9.71
2-T6-25-B1,3,9.66
2-T6-25-B2,1,12.11
2-T6-25-B2,2,12.12
2-T6-25-B2,3,12.04
2-T6-25-W1,1,4.9
2-T6-25-W1,2,4.92
2-T6-25-W1,3,4.86
2-T6-25-W2,1,3.83
2-T6-25-W2,2,3.94
2-T6-25-W2,3,3.99
2-T6-25-W3,1,4.79
2-T6-25-W3,2,4.93
2-T6-25-W3,3,4.86
2-T6-25-W4,1,5.58
2-T6-25-W4,2,5.56
2-T6-25-W4,3,5.54
2-T6-25-W5,1,7.97
2-T6-25-W5,2,7.98
2-T6-25-W5,3,7.97
2-T6-50-B1,1,9.24
2-T6-50-B1,2,9.29
2-T6-50-B1,3,9.18
2-T6-50-B2,1,11.49
2-T6-50-B2,2,11.5
2-T6-50-B2,3,11.51
2-T7-0-B1,1,8.95
2-T7-0-B1,2,8.75
2-T7-0-B1,3,8.81
2-T7-0-B2,1,8.91
2-T7-0-B2,2,9
2-T7-0-B2,3,9.03
2-T7-0-B3,1,9.16
2-T7-0-B3,2,9.16
2-T7-0-B3,3,9.14
2-T7-0-B4,1,10.31
2-T7-0-B4,2,10.1
2-T7-0-B4,3,10.11
2-T7-0-B5,1,11.95
2-T7-0-B5,2,11.94
2-T7-0-B5,3,11.9
2-T7-0-W1,1,5.07
2-T7-0-W1,2,5.05
2-T7-0-W1,3,5.04
2-T7-0-W2,1,5.52
2-T7-0-W2,2,5.59
2-T7-0-W2,3,5.56
2-T7-0-W3,1,5.67
2-T7-0-W3,2,5.65
2-T7-0-W3,3,5.65
2-T7-0-W4,1,5.19
2-T7-0-W4,2,5.12
2-T7-0-W4,3,5.12
2-T7-0-W5,1,4.28
2-T7-0-W5,2,4.28
2-T7-0-W5,3,4.32
2-T7-0-W6,1,4.96
2-T7-0-W6,2,4.93
2-T7-0-W6,3,4.91
2-T7-0-W7,1,5.59
2-T7-0-W7,2,5.58
2-T7-0-W7,3,5.6
2-T7-0-W8,1,4.8
2-T7-0-W8,2,4.75
2-T7-0-W8,3,4.77
2-T7-0-W9,1,5.93
2-T7-0-W9,2,5.91
2-T7-0-W9,3,5.88
2-T7-0-W10,1,4.97
2-T7-0-W10,2,4.94
2-T7-0-W10,3,4.96
2-T7-0-W11,1,5.47
2-T7-0-W11,2,5.44
2-T7-0-W11,3,5.45
2-T7-0-W12,1,5.19
2-T7-0-W12,2,5.17
2-T7-0-W12,3,5.27
2-T7-0-W13,1,4.44
2-T7-0-W13,2,4.45
2-T7-0-W13,3,4.49
2-T7-0-W14,1,5.69
2-T7-0-W14,2,5.71
2-T7-0-W14,3,5.75
2-T7-0-W15,1,4.8
2-T7-0-W15,2,4.71
2-T7-0-W15,3,4.66
2-T7-0-W16,1,6.51
2-T7-0-W16,2,6.59
2-T7-0-W16,3,6.61
2-T7-0-W17,1,8.33
2-T7-0-W17,2,8.29
2-T7-0-W17,3,8.46
2-T7-0-W18,1,7.29
2-T7-0-W18,2,7.29
2-T7-0-W18,3,7.29
2-T7-0-W19,1,6.81
2-T7-0-W19,2,6.81
2-T7-0-W19,3,6.8
2-T7-0-W20,1,7.55
2-T7-0-W20,2,7.59
2-T7-0-W20,3,7.63
2-T7-0-W21,1,6.73
2-T7-0-W21,2,6.83
2-T7-0-W21,3,6.85
2-T7-50-B1,1,9.47
2-T7-50-B1,2,9.6
2-T7-50-B1,3,9.46
2-T7-50-B2,1,10.29
2-T7-50-B2,2,10.28
2-T7-50-B2,3,10.44
2-T7-50-B3,1,9.23
2-T7-50-B3,2,9.23
2-T7-50-B3,3,9.24
2-T7-50-B4,1,6.15
2-T7-50-B4,2,6.19
2-T7-50-B4,3,6.18
2-T8-0-B1,1,10.32
2-T8-0-B1,2,10.24
2-T8-0-B1,3,10.14
2-T8-0-B2,1,9.49
2-T8-0-B2,2,9.49
2-T8-0-B2,3,9.44
2-T8-0-B3,1,9.21
2-T8-0-B3,2,9.3
2-T8-0-B3,3,9.24
2-T8-0-W1,1,5.23
2-T8-0-W1,2,5.27
2-T8-0-W1,3,5.24
2-T8-0-W2,1,5.4
2-T8-0-W2,2,5.38
2-T8-0-W2,3,5.29
2-T8-0-W3,1,5.48
2-T8-0-W3,2,5.55
2-T8-0-W3,3,5.44
2-T8-0-W4,1,5.14
2-T8-0-W4,2,5.14
2-T8-0-W4,3,5.16
2-T8-0-W5,1,7.56
2-T8-0-W5,2,7.51
2-T8-0-W5,3,7.56
2-T8-0-W6,1,7.3
2-T8-0-W6,2,7.35
2-T8-0-W6,3,7.23
2-T8-0-W7,1,6.79
2-T8-0-W7,2,6.78
2-T8-0-W7,3,6.82
2-T8-25-B1,1,9.02
2-T8-25-B1,2,9.13
2-T8-25-B1,3,9.2
2-T8-25-B2,1,9.5
2-T8-25-B2,2,9.45
2-T8-25-B2,3,9.54
2-T8-25-W1,1,4.82
2-T8-25-W1,2,4.9
2-T8-25-W1,3,4.9
2-T8-25-W2,1,4.25
2-T8-25-W2,2,4.28
2-T8-25-W2,3,4.31
2-T8-25-W3,1,5.22
2-T8-25-W3,2,5.25
2-T8-25-W3,3,5.24
2-T8-25-W4,1,4.8
2-T8-25-W4,2,4.77
2-T8-25-W4,3,4.68
2-T8-25-W5,1,4.95
2-T8-25-W5,2,4.93
2-T8-25-W5,3,4.87
2-T8-25-W6,1,5.44
2-T8-25-W6,2,5.45
2-T8-25-W6,3,5.42
2-T8-25-W7,1,4.98
2-T8-25-W7,2,5.04
2-T8-25-W7,3,5.11
2-T8-25-W8,1,5.2
2-T8-25-W8,2,5.23
2-T8-25-W8,3,5.24
2-T8-25-W9,1,4.57
2-T8-25-W9,2,4.55
2-T8-25-W9,3,4.49
2-T8-25-W10,1,5.63
2-T8-25-W10,2,5.63
2-T8-25-W10,3,5.62
2-T8-25-W11,1,7.98
2-T8-25-W11,2,7.96
2-T8-25-W11,3,7.86
2-T8-25-W12,1,7.19
2-T8-25-W12,2,7.12
2-T8-25-W12,3,7.28
2-T8-25-W13,1,6.99
2-T8-25-W13,2,6.98
2-T8-25-W13,3,7.03
2-T8-50-B1,1,13.82
2-T8-50-B1,2,13.84
2-T8-50-B1,3,13.79
2-T8-50-B2,1,6.33
2-T8-50-B2,2,6.38
2-T8-50-B2,3,6.35
2-T8-50-W1,1,5.07
2-T8-50-W1,2,5.09
2-T8-50-W1,3,5.06
2-T8-50-W2,1,4.42
2-T8-50-W2,2,4.37
2-T8-50-W2,3,4.42
2-T8-50-W3,1,4.75
2-T8-50-W3,2,4.79
2-T8-50-W3,3,4.78
2-T8-50-W4,1,4.62
2-T8-50-W4,2,4.68
2-T8-50-W4,3,4.74
2-T8-50-W5,1,4.32
2-T8-50-W5,2,4.39
2-T8-50-W5,3,4.37
2-T8-50-W6,1,4.88
2-T8-50-W6,2,4.87
2-T8-50-W6,3,4.9
2-T8-50-W7,1,4.24
2-T8-50-W7,2,4.19
2-T8-50-W7,3,4.2
2-T9-0-B1,1,9.36
2-T9-0-B1,2,9.3
2-T9-0-B1,3,9.23
2-T9-0-B2,1,9.14
2-T9-0-B2,2,9.19
2-T9-0-B2,3,9.08
2-T9-0-B3,1,9.69
2-T9-0-B3,2,9.57
2-T9-0-B3,3,9.57
2-T9-0-B4,1,5.52
2-T9-0-B4,2,5.33
2-T9-0-B4,3,5.49
2-T9-0-W1,1,4.91
2-T9-0-W1,2,4.79
2-T9-0-W1,3,4.88
2-T9-0-W2,1,4.25
2-T9-0-W2,2,4.31
2-T9-0-W2,3,4.34
2-T9-0-W3,1,4.82
2-T9-0-W3,2,4.76
2-T9-0-W3,3,4.77
2-T9-0-W4,1,5.05
2-T9-0-W4,2,5.04
2-T9-0-W4,3,5.02
2-T9-0-W5,1,4.8
2-T9-0-W5,2,4.9
2-T9-0-W5,3,4.83
2-T9-0-W6,1,5.17
2-T9-0-W6,2,5.15
2-T9-0-W6,3,5.25
2-T9-0-W7,1,5.47
2-T9-0-W7,2,5.47
2-T9-0-W7,3,5.45
2-T9-0-W8,1,4.49
2-T9-0-W8,2,4.46
2-T9-0-W8,3,4.42
2-T9-0-W9,1,4.48
2-T9-0-W9,2,4.56
2-T9-0-W9,3,4.48
2-T9-0-W10,1,4.79
2-T9-0-W10,2,4.81
2-T9-0-W10,3,4.77
2-T9-0-W11,1,5.23
2-T9-0-W11,2,5.24
2-T9-0-W11,3,5.22
2-T9-0-W12,1,7.49
2-T9-0-W12,2,7.4
2-T9-0-W12,3,7.4
2-T9-0-W13,1,7.12
2-T9-0-W13,2,7.07
2-T9-0-W13,3,7.15
2-T9-0-W14,1,5.79
2-T9-0-W14,2,5.77
2-T9-0-W14,3,5.82
2-T9-25-B1,1,9.35
2-T9-25-B1,2,9.34
2-T9-25-B1,3,9.36
2-T9-25-B2,1,13.59
2-T9-25-B2,2,13.55
2-T9-25-B2,3,13.53
2-T9-25-W1,1,3.83
2-T9-25-W1,2,3.8
2-T9-25-W1,3,3.87
2-T9-25-W2,1,5.52
2-T9-25-W2,2,5.54
2-T9-25-W2,3,5.55
2-T9-25-W3,1,4.09
2-T9-25-W3,2,4.05
2-T9-25-W3,3,4.02
2-T9-50-B1,1,8.73
2-T9-50-B1,2,8.78
2-T9-50-B1,3,8.73
2-T9-50-B2,1,9.69
2-T9-50-B2,2,9.68
2-T9-50-B2,3,9.66
2-T9-50-B3,1,13.51
2-T9-50-B3,2,13.51
2-T9-50-B3,3,13.52
2-T9-50-W1,1,4.81
2-T9-50-W1,2,4.65
2-T9-50-W1,3,4.67
2-T9-50-W2,1,5.2
2-T9-50-W2,2,5.16
2-T9-50-W2,3,5.17
2-T9-50-W3,1,4.95
2-T9-50-W3,2,4.97
2-T9-50-W3,3,5.03
2-T10-25-W1,1,5.75
2-T10-25-W1,2,5.81
2-T10-25-W1,3,5.8
2-T10-25-W2,1,4.61
2-T10-25-W2,2,4.63
2-T10-25-W2,3,4.64
2-T10-25-W3,1,4.48
2-T10-25-W3,2,4.5
2-T10-25-W3,3,4.51
2-T10-25-W4,1,5.37
2-T10-25-W4,2,5.35
2-T10-25-W4,3,5.43
2-T10-25-W5,1,6.1
2-T10-25-W5,2,6.16
2-T10-25-W5,3,6.08
2-T10-25-W6,1,5.35
2-T10-25-W6,2,5.26
2-T10-25-W6,3,5.38
2-T10-25-W7,1,4.75
2-T10-25-W7,2,4.77
2-T10-25-W7,3,4.75
2-T10-25-W8,1,4.84
2-T10-25-W8,2,4.76
2-T10-25-W8,3,4.76
2-T10-25-W9,1,4.95
2-T10-25-W9,2,4.96
2-T10-25-W9,3,4.99
2-T10-25-W10,1,5.29
2-T10-25-W10,2,5.32
2-T10-25-W10,3,5.34
2-T10-25-W11,1,4.85
2-T10-25-W11,2,4.77
2-T10-25-W11,3,4.83
2-T10-25-W12,1,4.55
2-T10-25-W12,2,4.45
2-T10-25-W12,3,4.42
2-T10-25-W13,1,5.39
2-T10-25-W13,2,5.41
2-T10-25-W13,3,5.42
2-T10-25-W14,1,5.53
2-T10-25-W14,2,5.55
2-T10-25-W14,3,5.57
2-T10-25-W15,1,4.97
2-T10-25-W15,2,4.93
2-T10-25-W15,3,5.04
2-T10-25-W16,1,5.04
2-T10-25-W16,2,5.02
2-T10-25-W16,3,5.02
2-T10-25-W17,1,3.83
2-T10-25-W17,2,3.86
2-T10-25-W17,3,3.87
2-T10-25-W18,1,5.46
2-T10-25-W18,2,5.38
2-T10-25-W18,3,5.37
2-T10-25-W19,1,4.56
2-T10-25-W19,2,4.58
2-T10-25-W19,3,4.54
2-T10-25-W20,1,3.93
2-T10-25-W20,2,3.96
2-T10-25-W20,3,3.96
2-T10-25-W21,1,4.4
2-T10-25-W21,2,4.44
2-T10-25-W21,3,4.46
2-T10-25-W22,1,4.71
2-T10-25-W22,2,4.64
2-T10-25-W22,3,4.68
2-T10-25-W23,1,4.58
2-T10-25-W23,2,4.56
2-T10-25-W23,3,4.57
2-T10-25-W24,1,8.23
2-T10-25-W24,2,8.15
2-T10-25-W24,3,8.2
2-T10-25-W25,1,7.68
2-T10-25-W25,2,7.62
2-T10-25-W25,3,7.64
2-T10-50-B1,1,6.43
2-T10-50-B1,2,6.59
2-T10-50-B1,3,6.66
2-T10-50-B2,1,5.78
2-T10-50-B2,2,5.87
2-T10-50-B2,3,5.81
2-T10-50-W1,1,4.43
2-T10-50-W1,2,4.35
2-T10-50-W1,3,4.41
2-T10-50-W2,1,5.15
2-T10-50-W2,2,5.06
2-T10-50-W2,3,4.97
2-T10-50-W3,1,5.9
2-T10-50-W3,2,5.81
2-T10-50-W3,3,5.8
2-T10-50-W4,1,5.08
2-T10-50-W4,2,5.06
2-T10-50-W4,3,4.97
2-T10-50-W5,1,4.64
2-T10-50-W5,2,4.62
2-T10-50-W5,3,4.65
2-T10-50-W6,1,5.19
2-T10-50-W6,2,5.18
2-T10-50-W6,3,5.16
3-T1-0-B1,1,9.61
3-T1-0-B1,2,9.63
3-T1-0-B1,3,9.64
3-T1-0-B2,1,9.81
3-T1-0-B2,2,9.7
3-T1-0-B2,3,9.82
3-T1-0-B3,1,9.18
3-T1-0-B3,2,9.23
3-T1-0-B3,3,9.16
3-T1-0-B4,1,9.51
3-T1-0-B4,2,9.4
3-T1-0-B4,3,9.51
