insectid,round,transect,distance,soild13c,soild15n,soilccombust,soilncombust,soilcnratio,moisture,trophic,species,median,sex
1-T4-50-B5,1,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.17,M
1-T5-50-B3,1,T5,50,-26.57,3.09,37.03,1.62,22.9,1.517,Carabidae,Pterostichus crenicollis,9.59,M
1-T7-0-B10,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Scaphinotus angusticollis,12.7,M
1-T7-0-B2,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,8.73,M
1-T7-0-B3,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.18,M
1-T7-0-B4,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.36,M
1-T7-0-B5,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.37,M
1-T7-0-B7,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,10.3,M
1-T7-0-B8,1,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.25,M
1-T8-50-B1,1,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Zacotus matthewsii,9.06,M
2-T2-0-B2,2,T2,0,-27.34,8.81,52.84,1.49,35.5,4.588,Carabidae,Scaphinotus angusticollis,12.47,M
2-T2-25-B3,2,T2,25,-27.74,4.26,52.51,0.97,54.1,3.459,Carabidae,Pterostichus amethystinus,7.25,M
2-T3-50-B4,2,T3,50,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Pterostichus crenicollis,9.85,M
2-T4-0-B2,2,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Pterostichus crenicollis,10.1,M
2-T4-50-B6,2,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Scaphinotus angusticollis,12.34,M
2-T4-50-B7,2,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Scaphinotus angusticollis,12.35,M
2-T4-50-B8,2,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Scaphinotus angusticollis,11.96,M
2-T4-50-B9,2,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Scaphinotus angusticollis,11.66,M
2-T6-25-B2,2,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Scaphinotus angusticollis,12.11,M
2-T6-50-B2,2,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Scaphinotus angusticollis,11.5,M
2-T7-0-B5,2,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Scaphinotus angusticollis,11.94,M
2-T7-0-B1,2,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,8.81,M
2-T7-0-B3,2,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.16,M
2-T7-50-B4,2,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Pterostichus amethystinus,6.18,M
2-T8-25-B1,2,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.13,M
2-T9-0-B1,2,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Zacotus matthewsii,9.3,M
3-T1-25-B2,3,T1,25,-26.48,8.3,30.95,0.66,46.9,2.641,Carabidae,Pterostichus amethystinus,7.83,M
3-T10-25-B3,3,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Zacotus matthewsii,9.49,M
3-T10-50-B2,3,T10,50,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Pterostichus amethystinus,6.69,M
3-T2-50-B6,3,T2,50,-26.28,4.74,42.96,1.18,36.4,4.628,Carabidae,Pterostichus crenicollis,10.02,M
3-T3-0-B1,3,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Zacotus matthewsii,9.32,M
3-T3-50-B1,3,T3,50,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Pterostichus amethystinus,7.23,M
3-T3-50-B2,3,T3,50,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Pterostichus amethystinus,6.68,M
3-T4-50-B8,3,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Pterostichus amethystinus,7.87,M
3-T4-50-B9,3,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Pterostichus amethystinus,7.78,M
3-T4-50-B7,3,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Scaphinotus angusticollis,11.66,M
3-T4-50-B3,3,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.4,M
3-T4-50-B4,3,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.27,M
3-T5-0-B2,3,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Scaphinotus angusticollis,12.62,M
3-T6-25-B4,3,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Pterostichus amethystinus,7.43,M
3-T6-25-B1,3,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Zacotus matthewsii,9.72,M
3-T7-0-B1,3,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.57,M
3-T7-50-B7,3,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Pterostichus amethystinus,7.6,M
3-T7-50-B2,3,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.35,M
3-T8-0-B7,3,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Leistus ferruginosus,5.57,M
3-T8-25-B2,3,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.28,M
3-T8-25-B5,3,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.19,M
3-T8-50-B2,3,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Pterostichus amethystinus,7.15,M
3-T8-50-B3,3,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Pterostichus amethystinus,7.83,M
3-T9-50-B3,3,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Pterostichus amethystinus,7.73,M
3-T9-50-B4,3,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Pterostichus amethystinus,7.08,M
3-T9-50-B1,3,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Zacotus matthewsii,9.39,M
4-T1-0-B2,4,T1,0,-26.99,6.83,52.57,1.28,41.1,5.057,Carabidae,Scaphinotus angusticollis,12.32,M
4-T10-0-B2,4,T10,0,-26.95,6.39,44.92,1.49,30.2,5.654,Carabidae,Scaphinotus angusticollis,11.88,M
4-T10-25-B5,4,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Pterostichus amethystinus,6.95,M
4-T10-25-B4,4,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Scaphinotus angusticollis,12.06,M
4-T10-50-B2,4,T10,50,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Pterostichus amethystinus,7.14,M
4-T2-0-B2,4,T2,0,-27.34,8.81,52.84,1.49,35.5,4.588,Carabidae,Pterostichus amethystinus,7.98,M
4-T2-50-B1,4,T2,50,-26.28,4.74,42.96,1.18,36.4,4.628,Carabidae,Pterostichus amethystinus,6.83,M
4-T2-50-B2,4,T2,50,-26.28,4.74,42.96,1.18,36.4,4.628,Carabidae,Pterostichus amethystinus,7.04,M
4-T3-0-B3,4,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Scaphinotus angusticollis,13.14,M
4-T3-0-B1,4,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Zacotus matthewsii,9.39,M
4-T3-50-B2,4,T3,50,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Pterostichus amethystinus,7.75,M
4-T4-0-B2,4,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Pterostichus crenicollis,10,M
4-T4-50-B2,4,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.28,M
4-T4-50-B3,4,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,8.9,M
4-T4-50-B5,4,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.24,M
4-T4-50-B6,4,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,8.81,M
4-T5-0-B4,4,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Pterostichus crenicollis,9.97,M
4-T5-0-B6,4,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Pterostichus crenicollis,9.95,M
4-T5-25-B3,4,T5,25,-27.18,3.71,43.32,1.81,23.9,4.101,Carabidae,Scaphinotus angusticollis,12.76,M
4-T6-25-B1,4,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Zacotus matthewsii,9.25,M
4-T6-25-B2,4,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Zacotus matthewsii,8.46,M
4-T6-50-B3,4,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Scaphinotus angusticollis,11.63,M
4-T7-50-B6,4,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Pterostichus amethystinus,7.08,M
4-T8-0-B6,4,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Pterostichus amethystinus,7,M
4-T8-0-B4,4,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.53,M
4-T8-0-B5,4,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.22,M
4-T8-25-B1,4,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.56,M
4-T8-25-B3,4,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,8.96,M
4-T9-25-B7,4,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Pterostichus crenicollis,9.46,M
4-T9-50-B3,4,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Pterostichus amethystinus,6.74,M
1-T1-0-B1,1,T1,0,-26.99,6.83,52.57,1.28,41.1,5.057,Carabidae,Zacotus matthewsii,9.98,N/A
1-T2-25-B1,1,T2,25,-27.74,4.26,52.51,0.97,54.1,3.459,Carabidae,Zacotus matthewsii,9.27,N/A
1-T4-25-B1,1,T4,25,-26.38,3.79,52.02,1.32,39.4,7.351,Carabidae,Zacotus matthewsii,9.31,N/A
1-T5-0-B3,1,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Zacotus matthewsii,9.26,N/A
1-T5-50-B2,1,T5,50,-26.57,3.09,37.03,1.62,22.9,1.517,Carabidae,Zacotus matthewsii,8.94,N/A
1-T6-0-B1,1,T6,0,-27.24,8.69,49.39,2.35,21,3.905,Carabidae,Zacotus matthewsii,9.42,N/A
1-T7-50-B3,1,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.4,N/A
2-T1-50-B1,2,T1,50,-27.16,2.45,51.52,1.05,49.1,4.982,Carabidae,Zacotus matthewsii,9.61,N/A
2-T4-0-B1,2,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Zacotus matthewsii,9,N/A
2-T4-50-B1,2,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,8.94,N/A
2-T6-25-B1,2,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Zacotus matthewsii,9.66,N/A
2-T7-0-B2,2,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9,N/A
2-T9-0-B3,2,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Zacotus matthewsii,9.57,N/A
2-T9-50-B1,2,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Zacotus matthewsii,8.73,N/A
3-T1-25-B1,3,T1,25,-26.48,8.3,30.95,0.66,46.9,2.641,Carabidae,Zacotus matthewsii,10.15,N/A
3-T2-50-B2,3,T2,50,-26.28,4.74,42.96,1.18,36.4,4.628,Carabidae,Zacotus matthewsii,9.57,N/A
3-T3-0-B2,3,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Zacotus matthewsii,9.78,N/A
3-T3-25-B1,3,T3,25,-26.59,3.56,54.12,1.08,50.1,5.041,Carabidae,Zacotus matthewsii,9.98,N/A
3-T4-0-B2,3,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Zacotus matthewsii,9.55,N/A
3-T6-50-B1,3,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Zacotus matthewsii,9.76,N/A
3-T9-25-B3,3,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.43,N/A
4-T10-0-B1,4,T10,0,-26.95,6.39,44.92,1.49,30.2,5.654,Carabidae,Zacotus matthewsii,9.71,N/A
4-T10-25-B1,4,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Zacotus matthewsii,9.61,N/A
4-T10-50-B1,4,T10,50,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Zacotus matthewsii,9.46,N/A
4-T2-0-B1,4,T2,0,-27.34,8.81,52.84,1.49,35.5,4.588,Carabidae,Zacotus matthewsii,9.4,N/A
4-T3-0-B4,4,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Pterostichus amethystinus,6.09,N/A
4-T3-50-B1,4,T3,50,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Zacotus matthewsii,9.61,N/A
4-T5-25-B1,4,T5,25,-27.18,3.71,43.32,1.81,23.9,4.101,Carabidae,Zacotus matthewsii,9.23,N/A
4-T7-25-B3,4,T7,25,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Zacotus matthewsii,10.27,N/A
4-T8-0-B2,4,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.05,N/A
4-T8-25-B5,4,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.38,N/A
4-T8-50-B1,4,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Zacotus matthewsii,9.37,N/A
